run_date,platform,best_C,cv_auc,best_thr,test_auc,test_acc_05,test_balanced_acc_05,test_acc_cal,test_balanced_acc_cal,test_f1_cal,test_prec_cal,test_rec_cal,n_train,n_test
2026-08-31T11:30:00+00:00,x,1.0,0.7228,0.36,0.7163,0.6389,0.639,0.6139,0.615,0.6998,0.5704,0.905,1565,360
2026-08-31T11:35:00+00:00,youtube,0.3,0.747,0.5,0.767,0.6835,0.69,0.6835,0.69,0.443,0.3241,0.7,1557,278
2026-08-31T09:53:17+00:00,x,1.0,0.7228,0.36,0.7163,0.6389,0.6388,0.6139,0.6155,0.6998,0.5704,0.905,1565,360
2026-08-31T09:53:17+00:00,youtube,0.3,0.747,0.5,0.767,0.6835,0.6899,0.6835,0.6899,0.443,0.3241,0.7,1557,278
